2026-04-02 21:37:59,516 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040120.gif
2026-04-02 21:37:59,517 [INFO] 다운로드 요청: 파일=kor1_anl_1h_2026040121.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040121.gif
2026-04-02 21:37:59,567 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040121.gif
2026-04-02 21:37:59,568 [INFO] 다운로드 요청: 파일=kor1_anl_1h_2026040122.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040122.gif
2026-04-02 21:37:59,624 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040122.gif
2026-04-02 21:37:59,625 [INFO] 다운로드 요청: 파일=kor1_anl_1h_2026040123.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040123.gif
2026-04-02 21:37:59,701 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040123.gif
2026-04-02 21:37:59,703 [INFO] 다운로드 요청: 파일=n500_6h_2026033118.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_n500_anlmod_pb4_2026033118.gif
2026-04-02 21:37:59,815 [INFO] 다운로드 완료: 파일=n500_6h_2026033118.gif, 크기=229688
2026-04-02 21:37:59,816 [INFO] 다운로드 요청: 파일=n500_6h_2026040100.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_n500_anlmod_pb4_2026040100.gif
2026-04-02 21:37:59,897 [INFO] 다운로드 완료: 파일=n500_6h_2026040100.gif, 크기=228326
2026-04-02 21:37:59,898 [INFO] 다운로드 요청: 파일=n500_6h_2026040106.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_n500_anlmod_pb4_2026040106.gif
