report_date,window_start,window_end,stnId,obs_count,mean_BF,mean_CA_MID,mean_CA_TOT,mean_CH_MIN,mean_CT_LOW,mean_CT_MID,mean_CT_TOP,mean_GST_TM,mean_GST_WD,mean_GST_WS,mean_HM,mean_IR,mean_IX,mean_PA,mean_PR,mean_PS,mean_PT,mean_PV,mean_RN,mean_RN_DAY,mean_RN_INT,mean_RN_JUN,mean_SD_DAY,mean_SD_HR3,mean_SD_TOT,mean_SI,mean_SS,mean_ST_GD,mean_ST_SEA,mean_TA,mean_TD,mean_TE_005,mean_TE_01,mean_TE_02,mean_TE_03,mean_TS,mean_VS,mean_WC,mean_WD,mean_WH,mean_WP,mean_WS,mean_WW,mean_tm
20260409,20260409 09:00,20260409 21:00,260,2,-9.000,8.000,10.000,-3.000,-9.000,-9.000,-9.000,754.000,2.500,1.500,94.000,2.000,-9.000,1000.500,-0.200,1005.750,5.000,15.450,-3.950,38.700,-9.000,38.700,-9.000,-9.000,-9.000,-9.000,-4.500,-9.000,-9.000,14.400,13.400,-99.000,-99.000,-99.000,-99.000,13.900,1117.500,-9.000,16.000,-9.000,-9.000,2.700,,202604091500.000
20260409,20260409 09:00,20260409 21:00,261,2,-9.000,9.500,9.500,2.500,-9.000,-9.000,-9.000,1264.000,18.500,15.500,94.500,1.000,-9.000,1003.650,-0.600,1005.600,4.500,15.550,0.200,30.800,-9.000,30.800,-9.000,-9.000,-9.000,-9.000,-4.500,-9.000,-9.000,14.450,13.550,-99.000,-99.000,-99.000,-99.000,14.300,2556.500,-9.000,15.500,-9.000,-9.000,5.450,,202604091500.000
20260409,20260409 09:00,20260409 21:00,262,2,-9.000,10.000,10.000,1.000,-9.000,-9.000,-9.000,803.500,5.500,1.000,95.000,1.000,-9.000,1000.050,-0.600,1006.250,4.500,14.950,0.550,39.300,-9.000,39.300,-9.000,-9.000,-9.000,-4.455,-4.500,-9.000,-9.000,13.650,12.800,-99.000,-99.000,-99.000,-99.000,13.250,445.000,-9.000,19.000,-9.000,-9.000,2.300,,202604091500.000
20260409,20260409 09:00,20260409 21:00,263,2,-9.000,9.000,9.500,-4.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,1.000,-3.500,1004.950,-1.150,1006.650,6.000,-9.000,0.150,14.900,-9.000,14.900,-9.000,-9.000,-9.000,-4.495,-4.500,-9.000,-9.000,10.300,-99.000,12.100,12.350,12.650,13.450,11.900,493.000,-9.000,18.000,-9.000,-9.000,0.700,,202604091500.000
20260409,20260409 09:00,20260409 21:00,264,2,-9.000,5.000,9.500,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,1.000,-3.500,988.250,-1.650,1006.350,6.000,-9.000,0.050,10.850,-9.000,10.850,-9.000,-9.000,-9.000,-4.455,-4.500,-9.000,-9.000,10.800,-99.000,11.450,11.600,12.000,12.500,11.250,888.500,-9.000,18.000,-9.000,-9.000,1.050,,202604091500.000
20260409,20260409 09:00,20260409 21:00,266,2,-9.000,8.000,10.000,-4.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,100.000,2.000,-9.000,996.400,-1.000,1006.850,5.000,15.300,-4.100,34.950,-9.000,34.950,-9.000,-9.000,-9.000,-4.440,-4.500,-9.000,-9.000,13.250,13.150,13.050,11.950,12.400,12.450,12.250,192.000,-9.000,19.000,-9.000,-9.000,2.350,,202604091500.000
20260409,20260409 09:00,20260409 21:00,268,2,-9.000,9.500,10.000,2.000,-9.000,-9.000,-9.000,1177.500,13.500,11.500,95.000,2.000,-9.000,1002.650,-0.100,1003.850,3.500,16.050,-4.100,35.650,-9.000,35.650,-9.000,-9.000,-9.000,-9.000,-4.500,-9.000,-9.000,14.900,14.050,-99.000,-99.000,-99.000,-99.000,13.850,668.500,-9.000,15.500,-9.000,-9.000,2.850,,202604091500.000
20260409,20260409 09:00,20260409 21:00,271,2,-9.000,9.500,9.500,15.500,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,73.500,2.000,-9.000,968.700,-2.050,1007.100,7.500,9.200,-3.900,5.250,-9.000,5.250,-9.000,-9.000,-9.000,-9.000,-4.500,-9.000,-9.000,10.000,4.750,-99.000,-99.000,-99.000,-99.000,9.500,1972.500,-9.000,26.000,-9.000,-9.000,1.250,,202604091500.000
20260409,20260409 09:00,20260409 21:00,272,2,-9.000,9.500,9.500,14.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,76.500,2.000,-9.000,981.850,-1.250,1007.100,7.500,9.200,-4.050,6.500,-9.000,6.500,-9.000,-9.000,-9.000,-9.000,-4.500,-9.000,-9.000,9.350,4.800,-99.000,-99.000,-99.000,-99.000,10.350,1082.000,-9.000,29.000,-9.000,-9.000,1.750,,202604091500.000
20260409,20260409 09:00,20260409 21:00,273,2,-9.000,9.500,10.000,7.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,78.500,2.000,-9.000,985.450,-1.300,1006.100,7.000,10.150,-3.650,8.100,-9.000,8.100,-9.000,-9.000,-9.000,-9.000,-4.500,-9.000,-9.000,10.450,6.350,-99.000,-99.000,-99.000,-99.000,10.200,2198.000,-9.000,16.000,-9.000,-9.000,0.400,,202604091500.000
